Temperature,SS,G-10,Nylon,Lead,Brass,Nickel,Gd-Rh,Gd0.6-Er0.4-Rh,Er3-Ni,Er-Ni,Er-Ni2,Er-Al2,Er-Dy0.8-Ni2,Kapton,Nd,Er3-Ni (N),Er0.9-Yb0.1-Ni,Er3-Co,Er0.6-Pr0.4,Ho-Cu2,Er-Ni0.9-Co0.1,Ho2-Al,Er-Ag0.9-Al0.1,Ho-Sb,Dy-Sb,Gd-Sb,Er,Er0.5-Pr0.5,GAP_GdAlO 3,GOS_Gd 2 O 2 S
1.59633,0.00623,0.00076,0.00037,0.00186,0.00025,0.00170,0.05163,0.11174,0.01180,0.04412,0.06103,0.00025,0.00958,0.00009,0.02111,0.08184,0.02704,0.02686,,0.06626,0.01362,0.10004,0.00722,0.00001,0.01608,0.01868,,0.01168,0.23405,0.17262
1.61465,0.00630,0.00077,0.00038,0.00188,0.00025,0.00171,0.05247,0.11303,0.01214,0.04493,0.06211,0.00026,0.00978,0.00009,0.02154,0.08188,0.02784,0.02728,,0.06732,0.01420,0.10055,0.00732,0.00001,0.01614,0.01885,,0.01187,0.23683,0.17498
1.63317,0.00637,0.00078,0.00038,0.00191,0.00026,0.00173,0.05331,0.11432,0.01249,0.04574,0.06320,0.00028,0.00999,0.00010,0.02199,0.08193,0.02865,0.02771,,0.06839,0.01479,0.10108,0.00741,0.00001,0.01621,0.01902,,0.01207,0.23963,0.17736
1.65191,0.00644,0.00079,0.00039,0.00193,0.00026,0.00175,0.05416,0.11563,0.01285,0.04657,0.06431,0.00029,0.01021,0.00010,0.02245,0.08198,0.02949,0.02814,,0.06948,0.01542,0.10163,0.00751,0.00001,0.01628,0.01919,,0.01227,0.24246,0.17974
1.67086,0.00652,0.00080,0.00039,0.00195,0.00026,0.00177,0.05502,0.11696,0.01322,0.04741,0.06545,0.00031,0.01043,0.00010,0.02293,0.08204,0.03035,0.02859,,0.07059,0.01607,0.10220,0.00762,0.00001,0.01635,0.01937,,0.01248,0.24532,0.18214
1.69003,0.00659,0.00081,0.00039,0.00197,0.00026,0.00179,0.05590,0.11830,0.01361,0.04826,0.06660,0.00033,0.01065,0.00010,0.02341,0.08211,0.03122,0.02905,,0.07171,0.01674,0.10279,0.00772,0.00001,0.01642,0.01955,,0.01269,0.24821,0.18454
1.70942,0.00667,0.00081,0.00040,0.00199,0.00027,0.00181,0.05678,0.11966,0.01400,0.04911,0.06777,0.00034,0.01088,0.00011,0.02391,0.08218,0.03212,0.02951,,0.07286,0.01744,0.10340,0.00783,0.00002,0.01650,0.01973,,0.01290,0.25113,0.18696
1.72903,0.00674,0.00082,0.00040,0.00202,0.00027,0.00183,0.05767,0.12103,0.01440,0.04998,0.06896,0.00036,0.01112,0.00011,0.02443,0.08225,0.03304,0.02999,,0.07403,0.01817,0.10403,0.00794,0.00002,0.01657,0.01992,,0.01312,0.25407,0.18938
1.74887,0.00682,0.00083,0.00041,0.00204,0.00027,0.00185,0.05857,0.12242,0.01482,0.05086,0.07017,0.00038,0.01136,0.00011,0.02495,0.08234,0.03398,0.03048,,0.07521,0.01893,0.10468,0.00805,0.00002,0.01665,0.02011,,0.01335,0.25705,0.19182
1.76894,0.00690,0.00084,0.00041,0.00206,0.00028,0.00187,0.05949,0.12383,0.01525,0.05175,0.07141,0.00041,0.01160,0.00012,0.02549,0.08242,0.03495,0.03097,,0.07642,0.01972,0.10535,0.00816,0.00002,0.01673,0.02030,,0.01358,0.26006,0.19427
1.78923,0.00698,0.00085,0.00042,0.00209,0.00028,0.00189,0.06041,0.12525,0.01569,0.05265,0.07267,0.00043,0.01185,0.00012,0.02605,0.08252,0.03593,0.03148,,0.07765,0.02055,0.10605,0.00828,0.00003,0.01681,0.02050,,0.01381,0.26310,0.19673
1.80976,0.00706,0.00086,0.00042,0.00211,0.00028,0.00191,0.06134,0.12668,0.01615,0.05357,0.07394,0.00045,0.01211,0.00012,0.02662,0.08262,0.03694,0.03200,,0.07889,0.02140,0.10676,0.00840,0.00003,0.01689,0.02070,,0.01405,0.26618,0.19920
