time_s,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
742.0,2.0,2.2841564639435936,2.2840630873809804,2.284063150930216,1.959312097686132e-06,1.977866674489959e-06,0.00010911250375977167,2,NOT_PERFORMED
744.0,2.0,2.2878178875149358,2.2877250494940533,2.2877251123859605,1.9558163844440914e-06,1.974284722398332e-06,0.00010887972833585179,2,NOT_PERFORMED
746.0,2.0,2.291479853439942,2.2913875496578524,2.2913876118934327,1.9523137375419737e-06,1.970695868211021e-06,0.00010864691759996158,2,NOT_PERFORMED
748.0,2.0,2.2951423635029875,2.2950505897013573,2.2950506512816014,1.948804138070309e-06,1.9671000843684014e-06,0.00010841407144568255,2,NOT_PERFORMED
750.0,2.0,2.2988054194991077,2.2987141714636508,2.2987142323895493,1.9452875632250784e-06,1.963497352410245e-06,0.000108181189766495,2,NOT_PERFORMED
752.0,2.0,2.302469023233443,2.3023782967931448,2.302378357065673,1.941763979698906e-06,1.959887649824714e-06,0.0001079482724537829,2,NOT_PERFORMED
754.0,2.0,2.3061331765218314,2.3060429675484815,2.3060430271686068,1.9382333730584726e-06,1.9562709460768416e-06,0.00010771531939982718,2,NOT_PERFORMED
756.0,2.0,2.3097978811906246,2.3097081855981543,2.3097082445668367,1.934695723939445e-06,1.9526472088692607e-06,0.00010748233049529503,2,NOT_PERFORMED
758.0,2.0,2.3134631390774842,2.313373952821578,2.313374011139769,1.9311510144881364e-06,1.949016419706592e-06,0.00010724930563010078,2,NOT_PERFORMED
760.0,2.0,2.317128952032353,2.3170402711100233,2.3170403287786794,1.927599232402222e-06,1.945378570939387e-06,0.00010701624469297917,2,NOT_PERFORMED
762.0,2.0,2.3207953219163793,2.320707142365226,2.320707199385265,1.924040358015303e-06,1.9417336394521323e-06,0.00010678314757271227,2,NOT_PERFORMED
764.0,2.0,2.324462250602236,2.32437456849983,2.324374624872201,1.9204743779071047e-06,1.9380815979676756e-06,0.00010655001415598655,2,NOT_PERFORMED
766.0,2.0,2.3281297399745657,2.3280425514381013,2.3280426071637095,1.9169012762421872e-06,1.93442243064575e-06,0.0001063168443305327,2,NOT_PERFORMED
768.0,2.0,2.331797791930614,2.331711093116401,2.33171114819617,1.913321028972105e-06,1.930756138393802e-06,0.00010608363798127323,2,NOT_PERFORMED
770.0,2.0,2.3354664083784726,2.3353801954810316,2.335380249915866,1.90973360436482e-06,1.9270826929482606e-06,0.00010585039499282705,2,NOT_PERFORMED
772.0,2.0,2.339135591239658,2.339049860491751,2.3390499142825543,1.9061390065870793e-06,1.923402079179044e-06,0.00010561711525052737,2,NOT_PERFORMED
774.0,2.0,2.3428053424487323,2.342720090120773,2.342720143268436,1.9025372326986567e-06,1.919714279146716e-06,0.0001053837986361175,2,NOT_PERFORMED
776.0,2.0,2.3464756639536857,2.346390886353278,2.346390938858686,1.8989282693825085e-06,1.9160192903824932e-06,0.00010515044503252402,2,NOT_PERFORMED
778.0,2.0,2.3501465577158247,2.350062251187208,2.3500623030512346,1.89531210495571e-06,1.9123171039072407e-06,0.00010491705432077064,2,NOT_PERFORMED
780.0,2.0,2.3538180257089185,2.353734186632258,2.3537342378557877,1.8916887193985481e-06,1.9086076983806905e-06,0.00010468362638119814,2,NOT_PERFORMED
782.0,2.0,2.357490069920297,2.357406694711462,2.3574067452953598,1.888058111823077e-06,1.9048910539915736e-06,0.00010445016109311334,2,NOT_PERFORMED
