time_s,segment,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
0.0225,0,0.00025,1.0994445535450044,1.3164293064300845,1.3171014986595633,9.944836163602938e-05,0.00011405578585170435,0.00017157539188401207,5,VALIDATED_BASELINE
0.02275,0,0.00025,1.099432022063123,1.312975885483134,1.3136276101308013,9.885572636996731e-05,0.00011337010586534455,0.0001715451671231469,5,VALIDATED_BASELINE
0.023,0,0.00025,1.0994194560306534,1.3096284689447721,1.3102606100958607,9.827635863152486e-05,0.00011269817888451844,0.0001715169942519765,5,VALIDATED_BASELINE
0.02325,0,0.00025,1.0994068745042358,1.3063825959990745,1.3069959921158183,9.77097826279315e-05,0.00011203926133896832,0.00017149076640525716,6,VALIDATED_BASELINE
0.0235,0,0.00025,1.0993942849121923,1.30323403221144,1.3038294781762358,9.715554242911057e-05,0.00011139304941472829,0.00017146638868032667,5,VALIDATED_BASELINE
0.02375,0,0.00025,1.0993816866531811,1.3001787552470006,1.3007570050874468,9.661320637825069e-05,0.00011075935825498414,0.0001714437718942606,5,VALIDATED_BASELINE
0.024,0,0.00025,1.099369076969537,1.2972129414611064,1.2977747109540083,9.608236313432206e-05,0.00011013783670398792,0.00017142283974228467,5,VALIDATED_BASELINE
0.02425,0,0.00025,1.0993564740190376,1.2943329542705704,1.2948789232698568,9.556262356320386e-05,0.00010952815440500247,0.00017140351320488168,5,VALIDATED_BASELINE
0.0245,0,0.00025,1.0993438821946107,1.2915353337645226,1.2920661482786666,9.505360810916875e-05,0.0001089299741775318,0.00017138571694452908,5,VALIDATED_BASELINE
0.02475,0,0.00025,1.099331306975428,1.2888167873040046,1.2893330613695275,9.455495359597176e-05,0.00010834294751151207,0.00017136938028733688,5,VALIDATED_BASELINE
0.025,0,0.00025,1.099318752298415,1.2861741802132782,1.286676497729436,9.4066312514892e-05,0.00010776677245802482,0.00017135442885307694,5,VALIDATED_BASELINE
0.02525,0,0.00025,1.0993062088592442,1.2836045285384396,1.2840934447830203,9.358735586115793e-05,0.00010720124916562613,0.00017134080455660382,5,VALIDATED_BASELINE
0.025500000000000002,0,0.00025,1.0992936659047767,1.2811049887625385,1.2815810321894474,9.311767692516181e-05,0.00010664607754248087,0.000171328459770853,5,VALIDATED_BASELINE
0.025750000000000002,0,0.00025,1.0992811324842815,1.2786728559023135,1.279136528923803,9.265717477777598e-05,0.00010610091175104634,0.00017131734077110707,5,VALIDATED_BASELINE
0.026000000000000002,0,0.00025,1.0992686095044775,1.2763055536423717,1.2767573343033907,9.220554370576845e-05,0.00010556550275057463,0.0001713074002520679,5,VALIDATED_BASELINE
0.02625,0,0.00025,1.0992560898454409,1.2740006270951594,1.2744409704877544,9.176249238251405e-05,0.00010503973037893373,0.00017129856647828416,5,VALIDATED_BASELINE
0.0265,0,0.00025,1.0992435943071723,1.2717557354325695,1.272185075086207,9.13277446043675e-05,0.00010452333746772022,0.00017129079393161405,5,VALIDATED_BASELINE
0.02675,0,0.00025,1.0992311837306363,1.2695686441802627,1.2699873934198131,9.090092464443245e-05,0.00010401605860903414,0.00017128401530525073,6,VALIDATED_BASELINE
0.027,0,0.00025,1.0992188694477183,1.2674372193377963,1.2678457724166743,9.04816574472703e-05,0.00010351763621687557,0.00017127823080740934,6,VALIDATED_BASELINE
0.02725,0,0.00025,1.099206640538607,1.265359426878076,1.2657581595423009,9.006996096741408e-05,0.00010302782276907213,0.00017127339492509626,5,VALIDATED_BASELINE
0.0275,0,0.00025,1.0991944863549732,1.2633333240191142,1.2637225948280137,8.966563209980673e-05,0.00010254635520964283,0.00017126947230233238,5,VALIDATED_BASELINE
0.02775,0,0.00025,1.0991824003198636,1.2613570557589044,1.2617372069038153,8.92685674174367e-05,0.00010207302670975311,0.00017126643323374255,5,VALIDATED_BASELINE
0.028,0,0.00025,1.0991703754399926,1.25942884934672,1.2598002076091819,8.887855077989179e-05,0.00010160767810113001,0.00017126424457304613,5,VALIDATED_BASELINE
0.02825,0,0.00025,1.0991584019623288,1.2575470098787696,1.2579098874649381,8.849537767427254e-05,0.00010115009170606099,0.00017126286819680317,6,VALIDATED_BASELINE
0.0285,0,0.00025,1.099146470356622,1.2557099162027,1.2560646115138907,8.811883723586722e-05,0.00010070005751747414,0.0001712622658868152,6,VALIDATED_BASELINE
0.02875,0,0.00025,1.0991346054310491,1.2539160163483296,1.2542628147965327,8.774869332252957e-05,0.00010025737448024466,0.00017126239968500212,6,VALIDATED_BASELINE
0.029,0,0.00025,1.099122812706092,1.2521638260709833,1.2525030005356321,8.738485670059755e-05,9.982184712437109e-05,0.00017126324222539477,5,VALIDATED_BASELINE
0.02925,0,0.00025,1.099111107638989,1.2504519246166828,1.250783736138284,8.702715023432558e-05,9.939329724935451e-05,0.00017126475361199035,4,VALIDATED_BASELINE
0.029500000000000002,0,0.00025,1.0990994947240715,1.2487789511337821,1.2491036495587358,8.667536681980274e-05,9.897156745869247e-05,0.00017126691196059336,4,VALIDATED_BASELINE
0.029750000000000002,0,0.00025,1.0990879656601908,1.247143602100355,1.247461426614549,8.632934587410206e-05,9.855646597142689e-05,0.0001712696973937939,5,VALIDATED_BASELINE
0.03,0,0.00025,1.0990765114281114,1.2455446291789487,1.2458558087671354,8.598900442221648e-05,9.81478167400134e-05,0.00017127308334083117,5,VALIDATED_BASELINE
0.03025,0,0.00025,1.0990651241877136,1.2439808358895887,1.2442855899043619,8.565419157942579e-05,9.774546866047269e-05,0.00017127704366121191,4,VALIDATED_BASELINE
0.0305,0,0.00025,1.0990538060089576,1.2424510756523481,1.2427496142398597,8.532478790052888e-05,9.734928212917539e-05,0.00017128155211974187,6,VALIDATED_BASELINE
0.03075,0,0.00025,1.0990425485168398,1.2409542482278062,1.2412467729015986,8.500060997848361e-05,9.69591120001838e-05,0.00017128658633038194,6,VALIDATED_BASELINE
0.031,0,0.00025,1.0990313456109837,1.2394892977745144,1.2397760018037332,8.468151586372078e-05,9.65748189067238e-05,0.0001712921229603498,5,VALIDATED_BASELINE
0.03125,0,0.00025,1.0990202022710487,1.2380552104732583,1.2383362793381176,8.436737747204657e-05,9.619623197061179e-05,0.00017129813822637123,6,VALIDATED_BASELINE
0.0315,0,0.00025,1.0990091212577442,1.2366510130980757,1.2369266247939754,8.40580663923683e-05,9.582325728928723e-05,0.00017130461530898868,6,VALIDATED_BASELINE
0.03175,0,0.00025,1.098998096852571,1.23527577102543,1.2355460964176432,8.375345762813582e-05,9.545575886365663e-05,0.00017131153531768986,5,VALIDATED_BASELINE
0.032,0,0.00025,1.0989871217461253,1.2339285864744327,1.2341937896243111,8.345342992883449e-05,9.50936156574747e-05,0.0001713188797471079,5,VALIDATED_BASELINE
0.03225,0,0.00025,1.0989761887605514,1.2326085967921099,1.2328688352777568,8.315786565821928e-05,9.473670689793198e-05,0.00017132663085702582,5,VALIDATED_BASELINE
0.0325,0,0.00025,1.0989652908804908,1.2313149727962323,1.2315703980250923,8.286665081904766e-05,9.438489153554261e-05,0.0001713347717572387,5,VALIDATED_BASELINE
0.03275,0,0.00025,1.098954421241499,1.2300469172686583,1.2302976747614156,8.257967498498499e-05,9.403805224133894e-05,0.00017134328630959616,6,VALIDATED_BASELINE
0.033,0,0.00025,1.0989435731283859,1.2288036633457955,1.2290498930235811,8.229683137248588e-05,9.369606289866815e-05,0.00017135215905998106,5,VALIDATED_BASELINE
0.03325,0,0.00025,1.0989327399726583,1.2275844732278398,1.2278263096616056,8.201801707638151e-05,9.335882433693158e-05,0.00017136137511242918,6,VALIDATED_BASELINE
0.0335,0,0.00025,1.0989219153504977,1.2263886368393824,1.2266262094984506,8.174313213579184e-05,9.302622723219218e-05,0.0001713709206620263,6,VALIDATED_BASELINE
0.03375,0,0.00025,1.098911092983739,1.2252154705692693,1.2254489040565362,8.147207986789711e-05,9.269815398672234e-05,0.00017138078239501938,6,VALIDATED_BASELINE
0.034,0,0.00025,1.0989002667283843,1.2240643161624591,1.2242937304262926,8.120476674217752e-05,9.237450434161938e-05,0.00017139094762492414,6,VALIDATED_BASELINE
0.03425,0,0.00025,1.0988894305866148,1.222934539638878,1.2231600501761442,8.094110224744977e-05,9.205518116583876e-05,0.00017140140439728525,6,VALIDATED_BASELINE
0.0345,0,0.00025,1.0988785786918804,1.2218255297162666,1.2220472478212259,8.06809888155251e-05,9.174006287799393e-05,0.00017141214094071902,7,VALIDATED_BASELINE
0.03475,0,0.00025,1.098867726977945,1.2207366977736192,1.220954730612287,8.042435766317698e-05,9.142904862814011e-05,0.0001714231454410287,6,VALIDATED_BASELINE
0.035,0,0.00025,1.0988568715082352,1.2196674762259807,1.2198819270852472,8.017111122201973e-05,9.112204344454577e-05,0.00017143440762138075,6,VALIDATED_BASELINE
0.035250000000000004,0,0.00025,1.0988460108967335,1.2186173165119454,1.2188282850853847,7.992111630695798e-05,9.081895419814634e-05,0.00017144591773748092,6,VALIDATED_BASELINE
0.035500000000000004,0,0.00025,1.0988351439867237,1.217585691055886,1.2177932733426569,7.967444067429436e-05,9.051968971214947e-05,0.00017145766591394334,7,VALIDATED_BASELINE
0.035750000000000004,0,0.00025,1.0988242749062285,1.2165720893694734,1.2167763781120067,7.943091553064098e-05,9.02241630860966e-05,0.00017146963906074133,6,VALIDATED_BASELINE
0.036000000000000004,0,0.00025,1.0988134013639816,1.2155760203890238,1.2157771049192643,7.919060667206155e-05,8.993229048102392e-05,0.00017148183053559987,6,VALIDATED_BASELINE
0.03625,0,0.00025,1.0988025192297237,1.214597010075547,1.2147949765996493,7.895344454867153e-05,8.96439903313865e-05,0.00017149423280880864,6,VALIDATED_BASELINE
0.0365,0,0.00025,1.0987916475567119,1.2136346006216168,1.2138295323714448,7.871935062031275e-05,8.935918366548665e-05,0.00017150682951904,6,VALIDATED_BASELINE
0.03675,0,0.00025,1.0987807855184453,1.2126883496044751,1.2128803269888198,7.848821573706481e-05,8.907780476361918e-05,0.0001715196224557429,5,VALIDATED_BASELINE
0.037,0,0.00025,1.098769930297419,1.2117578296897078,1.2119469303645996,7.825999441741022e-05,8.879977885597383e-05,0.000171532604777195,5,VALIDATED_BASELINE
0.03725,0,0.00025,1.0987590795401536,1.2108426281204663,1.211028927095754,7.803462514107346e-05,8.852504356602279e-05,0.0001715457691657992,6,VALIDATED_BASELINE
0.0375,0,0.00025,1.0987482286876769,1.209942345656165,1.210125915437205,7.781205043892801e-05,8.825351856846207e-05,0.00017155910851347872,6,VALIDATED_BASELINE
0.03775,0,0.00025,1.0987373750844442,1.2090565961987023,1.2092375068814536,7.759221556592953e-05,8.798509874295331e-05,0.00017157261588063587,6,VALIDATED_BASELINE
0.038,0,0.00025,1.09872652152692,1.2081850063472148,1.2083633257204585,7.73750560464697e-05,8.771971958663991e-05,0.00017158628404749166,6,VALIDATED_BASELINE
0.03825,0,0.00025,1.0987156982788284,1.2073272152406538,1.2075030088390923,7.716050947968755e-05,8.745740775546633e-05,0.00017160009754157854,6,VALIDATED_BASELINE
0.0385,0,0.00025,1.098704915743702,1.2064828735236235,1.2066562047715303,7.694851569797936e-05,8.7198093337162e-05,0.00017161405702000016,6,VALIDATED_BASELINE
0.03875,0,0.00025,1.0986941696336083,1.2056516429108621,1.205822573199491,7.673901658145436e-05,8.694168368844746e-05,0.00017162816156290385,6,VALIDATED_BASELINE
0.039,0,0.00025,1.0986834748728975,1.2048331958380818,1.2050017845909873,7.653195794162184e-05,8.66880910518103e-05,0.000171642401466368,6,VALIDATED_BASELINE
0.03925,0,0.00025,1.0986728463609348,1.204027215985304,1.2041935206367784,7.632730008843059e-05,8.643733465993445e-05,0.00017165676771816715,6,VALIDATED_BASELINE
0.0395,0,0.00025,1.098662289028828,1.2032333968546545,1.2033974730182069,7.612497532546154e-05,8.618935254469408e-05,0.00017167125526966863,6,VALIDATED_BASELINE
0.03975,0,0.00025,1.098651799394259,1.2024514416497296,1.2026133431714323,7.592493198975722e-05,8.594408539825753e-05,0.00017168587052502542,6,VALIDATED_BASELINE
0.04,0,0.00025,1.0986413768867487,1.2016810628909882,1.2018408419182562,7.572712005987384e-05,8.570147605016545e-05,0.00017170060851595217,6,VALIDATED_BASELINE
0.04025,0,0.00025,1.0986310186291341,1.2009219820978525,1.201079689139336,7.55314910444614e-05,8.546146943291806e-05,0.00017171546344278403,6,VALIDATED_BASELINE
0.0405,0,0.00025,1.0986207235470369,1.2001739294608338,1.2003296134463073,7.533799794394444e-05,8.522401247638148e-05,0.00017173042990321926,6,VALIDATED_BASELINE
0.04075,0,0.00025,1.0986104940247396,1.1994366435489818,1.1995903518838646,7.514659521405783e-05,8.498905394102567e-05,0.00017174550221558038,6,VALIDATED_BASELINE
0.041,0,0.00025,1.0986003327916778,1.1987098707520776,1.1988616494109021,7.495723874776919e-05,8.475654438093829e-05,0.0001717606752336212,6,VALIDATED_BASELINE
0.04125,0,0.00025,1.0985902362573765,1.197993365153025,1.19814325871384,7.476988574895412e-05,8.452643592756554e-05,0.0001717759441127034,6,VALIDATED_BASELINE
0.0415,0,0.00025,1.0985802011406767,1.197286888314015,1.1974349399970163,7.458449475107257e-05,8.429868205614022e-05,0.00017179130427901542,6,VALIDATED_BASELINE
0.04175,0,0.00025,1.0985702252513077,1.1965902090282485,1.196736460740398,7.440102575152263e-05,8.407323816885326e-05,0.00017180675133321292,6,VALIDATED_BASELINE
0.042,0,0.00025,1.0985603051618744,1.1959031030562504,1.1960475954384835,7.421943983561776e-05,8.385006118869217e-05,0.00017182228078385263,6,VALIDATED_BASELINE
0.04225,0,0.00025,1.0985504374941564,1.1952253525362142,1.1953681250459205,7.403969941812877e-05,8.362906687479679e-05,0.00017183788833445533,6,VALIDATED_BASELINE
0.0425,0,0.00025,1.0985406197822163,1.194556746485275,1.1946978373608539,7.386176841854473e-05,8.341026369396543e-05,0.00017185356974187444,6,VALIDATED_BASELINE
0.04275,0,0.00025,1.0985308506354994,1.1938970802370763,1.1940365265698578,7.36856114558734e-05,8.319361801353153e-05,0.00017186932161261217,6,VALIDATED_BASELINE
0.043000000000000003,0,0.00025,1.0985211269724757,1.193246155147019,1.1933839929334724,7.351119428444473e-05,8.297908981811626e-05,0.00017188514021686146,6,VALIDATED_BASELINE
0.043250000000000004,0,0.00025,1.0985114458406817,1.1926037783821837,1.192740042564045,7.33384840782744e-05,8.27666402339916e-05,0.0001719010219443688,6,VALIDATED_BASELINE
0.043500000000000004,0,0.00025,1.0985018041545473,1.1919697627114612,1.192104487213749,7.316744850122153e-05,8.255623132104118e-05,0.0001719169632474178,6,VALIDATED_BASELINE
0.043750000000000004,0,0.00025,1.0984922007559268,1.1913439263369343,1.1914771441002083,7.299805644592172e-05,8.23478264760805e-05,0.0001719329608016773,6,VALIDATED_BASELINE
0.044,0,0.00025,1.0984826329909445,1.1907260924306515,1.190857835472527,7.28302771611003e-05,8.214136734352701e-05,0.0001719490113316805,6,VALIDATED_BASELINE
0.04425,0,0.00025,1.0984731020434442,1.1901160892752827,1.1902463886965962,7.266408072491126e-05,8.193683381533567e-05,0.00017196511158118873,6,VALIDATED_BASELINE
0.0445,0,0.00025,1.0984636097007725,1.1895137501424071,1.1896426361542929,7.249943801621404e-05,8.173421324430027e-05,0.00017198125853303236,6,VALIDATED_BASELINE
0.04475,0,0.00025,1.0984541531080747,1.1889189129898672,1.189046414953639,7.233632075404935e-05,8.153347144591641e-05,0.00017199744936569495,6,VALIDATED_BASELINE
0.045,0,0.00025,1.0984447293928081,1.1883314203157316,1.188457566769036,7.217470139302488e-05,8.133457276853043e-05,0.00017201368119090554,6,VALIDATED_BASELINE
0.04525,0,0.00025,1.0984353357412453,1.1877511189054921,1.1878759375998766,7.201455324156548e-05,8.113746496031522e-05,0.00017202995130246172,6,VALIDATED_BASELINE
0.0455,0,0.00025,1.098425969438628,1.1871778599178637,1.187301377821794,7.185585426950643e-05,8.094212727137843e-05,0.00017204625690954762,5,VALIDATED_BASELINE
0.04575,0,0.00025,1.0984166383700755,1.1866114986308383,1.1867337419655128,7.169856601326912e-05,8.074855713837188e-05,0.00017206259309210156,5,VALIDATED_BASELINE
